date,category,actual_units
2026-05-01,dw_dw_bike,0
2026-05-01,dw_pkwt_bike,0
2026-05-01,pkwt_pkwt_bike,0
2026-05-01,dw_dw_car,0
2026-05-01,dw_pkwt_car,0
2026-05-01,pkwt_pkwt_car,0
2026-05-02,dw_dw_bike,0
2026-05-02,dw_pkwt_bike,0
2026-05-02,pkwt_pkwt_bike,0
2026-05-02,dw_dw_car,0
2026-05-02,dw_pkwt_car,0
2026-05-02,pkwt_pkwt_car,0
2026-05-03,dw_dw_bike,0
2026-05-03,dw_pkwt_bike,0
2026-05-03,pkwt_pkwt_bike,0
2026-05-03,dw_dw_car,0
2026-05-03,dw_pkwt_car,0
2026-05-03,pkwt_pkwt_car,0
2026-05-04,dw_dw_bike,0
2026-05-04,dw_pkwt_bike,0
2026-05-04,pkwt_pkwt_bike,0
2026-05-04,dw_dw_car,0
2026-05-04,dw_pkwt_car,0
2026-05-04,pkwt_pkwt_car,0
2026-05-05,dw_dw_bike,0
2026-05-05,dw_pkwt_bike,0
2026-05-05,pkwt_pkwt_bike,0
2026-05-05,dw_dw_car,0
2026-05-05,dw_pkwt_car,0
2026-05-05,pkwt_pkwt_car,0
2026-05-06,dw_dw_bike,0
2026-05-06,dw_pkwt_bike,0
2026-05-06,pkwt_pkwt_bike,0
2026-05-06,dw_dw_car,0
2026-05-06,dw_pkwt_car,0
2026-05-06,pkwt_pkwt_car,0
2026-05-07,dw_dw_bike,0
2026-05-07,dw_pkwt_bike,0
2026-05-07,pkwt_pkwt_bike,0
2026-05-07,dw_dw_car,0
2026-05-07,dw_pkwt_car,0
2026-05-07,pkwt_pkwt_car,0
2026-05-08,dw_dw_bike,0
2026-05-08,dw_pkwt_bike,0
2026-05-08,pkwt_pkwt_bike,0
2026-05-08,dw_dw_car,0
2026-05-08,dw_pkwt_car,0
2026-05-08,pkwt_pkwt_car,0
2026-05-09,dw_dw_bike,0
2026-05-09,dw_pkwt_bike,0
2026-05-09,pkwt_pkwt_bike,0
2026-05-09,dw_dw_car,0
2026-05-09,dw_pkwt_car,0
2026-05-09,pkwt_pkwt_car,0
2026-05-10,dw_dw_bike,0
2026-05-10,dw_pkwt_bike,0
2026-05-10,pkwt_pkwt_bike,0
2026-05-10,dw_dw_car,0
2026-05-10,dw_pkwt_car,0
2026-05-10,pkwt_pkwt_car,0
2026-05-11,dw_dw_bike,0
2026-05-11,dw_pkwt_bike,0
2026-05-11,pkwt_pkwt_bike,0
2026-05-11,dw_dw_car,0
2026-05-11,dw_pkwt_car,0
2026-05-11,pkwt_pkwt_car,0
2026-05-12,dw_dw_bike,0
2026-05-12,dw_pkwt_bike,0
2026-05-12,pkwt_pkwt_bike,0
2026-05-12,dw_dw_car,0
2026-05-12,dw_pkwt_car,0
2026-05-12,pkwt_pkwt_car,0
2026-05-13,dw_dw_bike,0
2026-05-13,dw_pkwt_bike,0
2026-05-13,pkwt_pkwt_bike,0
2026-05-13,dw_dw_car,0
2026-05-13,dw_pkwt_car,0
2026-05-13,pkwt_pkwt_car,0
2026-05-14,dw_dw_bike,0
2026-05-14,dw_pkwt_bike,0
2026-05-14,pkwt_pkwt_bike,0
2026-05-14,dw_dw_car,0
2026-05-14,dw_pkwt_car,0
2026-05-14,pkwt_pkwt_car,0
2026-05-15,dw_dw_bike,0
2026-05-15,dw_pkwt_bike,0
2026-05-15,pkwt_pkwt_bike,0
2026-05-15,dw_dw_car,0
2026-05-15,dw_pkwt_car,0
2026-05-15,pkwt_pkwt_car,0
2026-05-16,dw_dw_bike,0
2026-05-16,dw_pkwt_bike,0
2026-05-16,pkwt_pkwt_bike,0
2026-05-16,dw_dw_car,0
2026-05-16,dw_pkwt_car,0
2026-05-16,pkwt_pkwt_car,0
2026-05-17,dw_dw_bike,0
2026-05-17,dw_pkwt_bike,0
2026-05-17,pkwt_pkwt_bike,0
2026-05-17,dw_dw_car,0
2026-05-17,dw_pkwt_car,0
2026-05-17,pkwt_pkwt_car,0
2026-05-18,dw_dw_bike,0
2026-05-18,dw_pkwt_bike,0
2026-05-18,pkwt_pkwt_bike,0
2026-05-18,dw_dw_car,0
2026-05-18,dw_pkwt_car,0
2026-05-18,pkwt_pkwt_car,0
2026-05-19,dw_dw_bike,0
2026-05-19,dw_pkwt_bike,0
2026-05-19,pkwt_pkwt_bike,0
2026-05-19,dw_dw_car,0
2026-05-19,dw_pkwt_car,0
2026-05-19,pkwt_pkwt_car,0
2026-05-20,dw_dw_bike,0
2026-05-20,dw_pkwt_bike,0
2026-05-20,pkwt_pkwt_bike,0
2026-05-20,dw_dw_car,0
2026-05-20,dw_pkwt_car,0
2026-05-20,pkwt_pkwt_car,0
2026-05-21,dw_dw_bike,0
2026-05-21,dw_pkwt_bike,0
2026-05-21,pkwt_pkwt_bike,0
2026-05-21,dw_dw_car,0
2026-05-21,dw_pkwt_car,0
2026-05-21,pkwt_pkwt_car,0
2026-05-22,dw_dw_bike,0
2026-05-22,dw_pkwt_bike,0
2026-05-22,pkwt_pkwt_bike,0
2026-05-22,dw_dw_car,0
2026-05-22,dw_pkwt_car,0
2026-05-22,pkwt_pkwt_car,0
2026-05-23,dw_dw_bike,0
2026-05-23,dw_pkwt_bike,0
2026-05-23,pkwt_pkwt_bike,0
2026-05-23,dw_dw_car,0
2026-05-23,dw_pkwt_car,0
2026-05-23,pkwt_pkwt_car,0
2026-05-24,dw_dw_bike,0
2026-05-24,dw_pkwt_bike,0
2026-05-24,pkwt_pkwt_bike,0
2026-05-24,dw_dw_car,0
2026-05-24,dw_pkwt_car,0
2026-05-24,pkwt_pkwt_car,0
2026-05-25,dw_dw_bike,0
2026-05-25,dw_pkwt_bike,0
2026-05-25,pkwt_pkwt_bike,0
2026-05-25,dw_dw_car,0
2026-05-25,dw_pkwt_car,0
2026-05-25,pkwt_pkwt_car,0
2026-05-26,dw_dw_bike,0
2026-05-26,dw_pkwt_bike,0
2026-05-26,pkwt_pkwt_bike,0
2026-05-26,dw_dw_car,0
2026-05-26,dw_pkwt_car,0
2026-05-26,pkwt_pkwt_car,0
2026-05-27,dw_dw_bike,0
2026-05-27,dw_pkwt_bike,0
2026-05-27,pkwt_pkwt_bike,0
2026-05-27,dw_dw_car,0
2026-05-27,dw_pkwt_car,0
2026-05-27,pkwt_pkwt_car,0
2026-05-28,dw_dw_bike,0
2026-05-28,dw_pkwt_bike,0
2026-05-28,pkwt_pkwt_bike,0
2026-05-28,dw_dw_car,0
2026-05-28,dw_pkwt_car,0
2026-05-28,pkwt_pkwt_car,0
2026-05-29,dw_dw_bike,0
2026-05-29,dw_pkwt_bike,0
2026-05-29,pkwt_pkwt_bike,0
2026-05-29,dw_dw_car,0
2026-05-29,dw_pkwt_car,0
2026-05-29,pkwt_pkwt_car,0
2026-05-30,dw_dw_bike,0
2026-05-30,dw_pkwt_bike,0
2026-05-30,pkwt_pkwt_bike,0
2026-05-30,dw_dw_car,0
2026-05-30,dw_pkwt_car,0
2026-05-30,pkwt_pkwt_car,0
2026-05-31,dw_dw_bike,0
2026-05-31,dw_pkwt_bike,0
2026-05-31,pkwt_pkwt_bike,0
2026-05-31,dw_dw_car,0
2026-05-31,dw_pkwt_car,0
2026-05-31,pkwt_pkwt_car,0
2026-06-01,dw_dw_bike,0
2026-06-01,dw_pkwt_bike,0
2026-06-01,pkwt_pkwt_bike,0
2026-06-01,dw_dw_car,0
2026-06-01,dw_pkwt_car,0
2026-06-01,pkwt_pkwt_car,0
2026-06-02,dw_dw_bike,0
2026-06-02,dw_pkwt_bike,0
2026-06-02,pkwt_pkwt_bike,0
2026-06-02,dw_dw_car,0
2026-06-02,dw_pkwt_car,0
