date,category,total_cases,reported,spk_issued,invoice,paid,pct_reported,pct_spk,pct_invoice,pct_paid
2026-05-01,grab_oona,1987.0,1987.0,1920.0,1914.0,1379.0,100.0,96.63,96.33,69.4
2026-05-01,grab_avrist,1590.0,1590.0,1526.0,1526.0,1271.0,100.0,95.97,95.97,79.94
2026-05-01,nongrab_oona,57.0,57.0,57.0,56.0,0.0,100.0,100.0,98.25,0.0
2026-05-01,nongrab_avrist,226.0,226.0,223.0,222.0,108.0,100.0,98.67,98.23,47.79
2026-05-01,nongrab_sinarmas,92.0,92.0,92.0,89.0,0.0,100.0,100.0,96.74,0.0
2026-05-01,grab_allrisk,22.0,22.0,22.0,21.0,0.0,100.0,100.0,95.45,0.0
2026-05-01,nongrab_allrisk,1647.0,1471.0,1150.0,636.0,210.0,89.31,69.82,38.62,12.75
2026-05-02,grab_oona,2013.0,2013.0,1945.0,1938.0,1388.0,100.0,96.62,96.27,68.95
2026-05-02,grab_avrist,1600.0,1600.0,1535.0,1535.0,1278.0,100.0,95.94,95.94,79.88
2026-05-02,nongrab_oona,57.0,57.0,57.0,56.0,0.0,100.0,100.0,98.25,0.0
2026-05-02,nongrab_avrist,238.0,238.0,235.0,234.0,110.0,100.0,98.74,98.32,46.22
2026-05-02,nongrab_sinarmas,96.0,96.0,96.0,92.0,0.0,100.0,100.0,95.83,0.0
2026-05-02,grab_allrisk,22.0,22.0,22.0,21.0,0.0,100.0,100.0,95.45,0.0
2026-05-02,nongrab_allrisk,1657.0,1490.0,1208.0,636.0,210.0,89.92,72.9,38.38,12.67
2026-05-03,grab_oona,2016.0,2016.0,1948.0,1941.0,1388.0,100.0,96.63,96.28,68.85
2026-05-03,grab_avrist,1602.0,1602.0,1537.0,1537.0,1278.0,100.0,95.94,95.94,79.78
2026-05-03,nongrab_oona,57.0,57.0,57.0,56.0,0.0,100.0,100.0,98.25,0.0
2026-05-03,nongrab_avrist,238.0,238.0,235.0,234.0,110.0,100.0,98.74,98.32,46.22
2026-05-03,nongrab_sinarmas,97.0,97.0,97.0,93.0,0.0,100.0,100.0,95.88,0.0
2026-05-03,grab_allrisk,22.0,22.0,22.0,21.0,0.0,100.0,100.0,95.45,0.0
2026-05-03,nongrab_allrisk,1659.0,1490.0,1209.0,636.0,210.0,89.81,72.88,38.34,12.66
2026-05-04,grab_oona,2052.0,2052.0,1980.0,1973.0,1403.0,100.0,96.49,96.15,68.37
2026-05-04,grab_avrist,1615.0,1615.0,1549.0,1549.0,1287.0,100.0,95.91,95.91,79.69
2026-05-04,nongrab_oona,58.0,58.0,58.0,57.0,0.0,100.0,100.0,98.28,0.0
2026-05-04,nongrab_avrist,257.0,257.0,251.0,250.0,116.0,100.0,97.67,97.28,45.14
2026-05-04,nongrab_sinarmas,100.0,100.0,100.0,96.0,0.0,100.0,100.0,96.0,0.0
2026-05-04,grab_allrisk,22.0,22.0,22.0,21.0,0.0,100.0,100.0,95.45,0.0
2026-05-04,nongrab_allrisk,1673.0,1506.0,1222.0,636.0,210.0,90.02,73.04,38.02,12.55
2026-05-05,grab_oona,2092.0,2092.0,2020.0,2012.0,1419.0,100.0,96.56,96.18,67.83
2026-05-05,grab_avrist,1631.0,1631.0,1565.0,1565.0,1297.0,100.0,95.95,95.95,79.52
2026-05-05,nongrab_oona,60.0,60.0,60.0,59.0,0.0,100.0,100.0,98.33,0.0
2026-05-05,nongrab_avrist,270.0,270.0,264.0,263.0,122.0,100.0,97.78,97.41,45.19
